Local time,Open,High,Low,Close,Volume
22.03.2018 09:00:00.000 GMT-0400,113.263,113.622,111.332,112.132,59.68770000000001
22.03.2018 13:00:00.000 GMT-0400,112.122,112.953,109.553,110.003,47.6181
23.03.2018 09:00:00.000 GMT-0400,110.423,110.932,108.413,108.922,81.2928
23.03.2018 13:00:00.000 GMT-0400,108.903,110.163,106.772,107.013,65.4258
26.03.2018 09:00:00.000 GMT-0400,109.593,110.703,108.652,109.783,53.841300000000004
26.03.2018 13:00:00.000 GMT-0400,109.783,111.173,109.532,110.303,28.0288
27.03.2018 09:00:00.000 GMT-0400,111.292,111.693,110.322,111.092,26.451800000000002
27.03.2018 13:00:00.000 GMT-0400,111.093,111.343,107.322,108.212,62.119
28.03.2018 09:00:00.000 GMT-0400,108.832,109.193,106.672,107.742,104.1828
28.03.2018 13:00:00.000 GMT-0400,107.733,108.622,107.313,107.993,69.7716
29.03.2018 09:00:00.000 GMT-0400,108.593,109.203,107.782,108.923,29.621399999999998
29.03.2018 13:00:00.000 GMT-0400,108.923,110.793,108.803,110.022,22.747
02.04.2018 09:00:00.000 GMT-0400,110.622,110.762,106.732,107.363,53.3156
02.04.2018 13:00:00.000 GMT-0400,107.363,107.993,106.092,107.782,44.1446
03.04.2018 09:00:00.000 GMT-0400,109.072,109.072,107.273,108.363,37.4448
03.04.2018 13:00:00.000 GMT-0400,108.363,109.523,107.452,109.362,53.1134
04.04.2018 09:00:00.000 GMT-0400,107.192,109.823,107.032,109.632,57.161699999999996
04.04.2018 13:00:00.000 GMT-0400,109.632,111.223,108.642,110.963,29.4484
05.04.2018 09:00:00.000 GMT-0400,111.793,112.843,111.402,112.362,25.735200000000003
05.04.2018 13:00:00.000 GMT-0400,112.372,112.493,111.522,111.770,19.259999999999998
06.04.2018 09:00:00.000 GMT-0400,110.553,111.552,109.672,110.373,32.9211
06.04.2018 13:00:00.000 GMT-0400,110.372,110.373,107.833,109.042,43.6502
09.04.2018 09:00:00.000 GMT-0400,110.202,112.283,109.973,112.243,24.2222
09.04.2018 13:00:00.000 GMT-0400,112.253,112.993,110.222,110.403,24.4184
10.04.2018 09:00:00.000 GMT-0400,112.193,112.873,111.483,112.273,38.3462
10.04.2018 13:00:00.000 GMT-0400,112.273,112.793,111.962,112.542,25.8846
11.04.2018 09:00:00.000 GMT-0400,111.893,111.893,110.662,111.323,29.1005
11.04.2018 13:00:00.000 GMT-0400,111.322,111.633,110.522,110.672,20.5513
12.04.2018 09:00:00.000 GMT-0400,111.703,113.573,111.543,113.502,25.4037
12.04.2018 13:00:00.000 GMT-0400,113.513,114.393,112.813,113.413,20.9256
13.04.2018 09:00:00.000 GMT-0400,115.002,115.143,109.762,110.052,54.729800000000004
13.04.2018 13:00:00.000 GMT-0400,110.052,110.423,109.063,110.353,21.5623
16.04.2018 09:00:00.000 GMT-0400,110.953,111.472,109.802,110.752,36.2147
16.04.2018 13:00:00.000 GMT-0400,110.753,111.283,110.193,110.223,16.8575
17.04.2018 09:00:00.000 GMT-0400,111.502,111.923,110.702,110.923,19.6046
17.04.2018 13:00:00.000 GMT-0400,110.922,111.013,110.002,110.232,12.421599999999998
18.04.2018 09:00:00.000 GMT-0400,111.032,111.083,108.913,109.293,17.5636
18.04.2018 13:00:00.000 GMT-0400,109.283,109.623,108.922,109.322,8.5762
19.04.2018 09:00:00.000 GMT-0400,109.722,111.503,109.722,111.213,34.405
19.04.2018 13:00:00.000 GMT-0400,111.212,111.873,110.902,111.733,21.8754
20.04.2018 09:00:00.000 GMT-0400,112.392,112.752,111.332,111.733,24.647399999999998
20.04.2018 13:00:00.000 GMT-0400,111.732,111.983,110.903,111.452,17.7209
23.04.2018 09:00:00.000 GMT-0400,111.673,111.952,110.872,111.573,23.3042
23.04.2018 13:00:00.000 GMT-0400,111.562,111.663,110.642,110.953,15.0217
24.04.2018 09:00:00.000 GMT-0400,111.752,112.903,110.782,110.782,41.5855
24.04.2018 13:00:00.000 GMT-0400,110.773,111.073,109.602,110.342,38.0824
25.04.2018 09:00:00.000 GMT-0400,110.390,110.573,108.612,109.222,57.33709999999999
25.04.2018 13:00:00.000 GMT-0400,109.222,110.393,108.892,109.992,68.739
26.04.2018 09:00:00.000 GMT-0400,110.133,110.333,109.362,110.262,70.5526
26.04.2018 13:00:00.000 GMT-0400,110.262,110.842,110.052,110.103,39.2532
27.04.2018 09:00:00.000 GMT-0400,110.233,110.233,109.162,109.543,64.9329
27.04.2018 13:00:00.000 GMT-0400,109.542,109.763,109.352,109.422,32.109700000000004
30.04.2018 09:00:00.000 GMT-0400,109.823,110.303,109.292,109.743,39.0347
30.04.2018 13:00:00.000 GMT-0400,109.762,110.103,108.782,108.802,49.7724
01.05.2018 09:00:00.000 GMT-0400,108.442,108.523,107.552,108.112,77.3737
01.05.2018 13:00:00.000 GMT-0400,108.102,108.993,107.742,108.803,60.2998
02.05.2018 09:00:00.000 GMT-0400,108.453,109.353,107.962,109.172,67.0686
02.05.2018 13:00:00.000 GMT-0400,109.163,109.513,107.753,107.913,66.403
03.05.2018 09:00:00.000 GMT-0400,107.802,107.802,105.203,107.072,102.5374
03.05.2018 13:00:00.000 GMT-0400,107.063,107.753,106.562,107.303,92.9716
04.05.2018 09:00:00.000 GMT-0400,106.373,108.273,106.002,108.213,80.3605
04.05.2018 13:00:00.000 GMT-0400,108.223,108.772,108.132,108.462,48.1764
07.05.2018 09:00:00.000 GMT-0400,108.932,109.303,108.412,109.222,68.2266
07.05.2018 13:00:00.000 GMT-0400,109.223,109.693,109.012,109.392,46.322100000000006
08.05.2018 09:00:00.000 GMT-0400,109.612,111.363,109.313,110.523,75.92269999999999
08.05.2018 13:00:00.000 GMT-0400,110.522,111.173,109.993,110.982,67.0018
09.05.2018 09:00:00.000 GMT-0400,111.562,113.253,111.072,113.153,65.9129
09.05.2018 13:00:00.000 GMT-0400,113.153,113.653,113.033,113.432,44.4757
10.05.2018 09:00:00.000 GMT-0400,113.313,114.453,112.772,114.322,55.542
10.05.2018 13:00:00.000 GMT-0400,114.323,114.453,113.902,114.303,43.8388
11.05.2018 09:00:00.000 GMT-0400,114.653,114.742,113.752,114.102,48.6503
11.05.2018 13:00:00.000 GMT-0400,114.093,114.213,113.692,113.903,37.329499999999996
14.05.2018 09:00:00.000 GMT-0400,114.313,114.713,113.832,113.852,46.6571
14.05.2018 13:00:00.000 GMT-0400,113.852,114.273,113.762,113.922,40.044599999999996
15.05.2018 09:00:00.000 GMT-0400,114.212,114.213,112.782,113.353,69.1991
15.05.2018 13:00:00.000 GMT-0400,113.352,113.412,112.593,113.022,56.9835
16.05.2018 09:00:00.000 GMT-0400,113.012,113.643,112.652,113.553,47.127700000000004
16.05.2018 13:00:00.000 GMT-0400,113.552,113.703,113.162,113.353,33.7041
17.05.2018 09:00:00.000 GMT-0400,113.642,113.642,112.222,113.022,43.1325
17.05.2018 13:00:00.000 GMT-0400,113.023,113.232,112.582,112.973,34.713899999999995
18.05.2018 09:00:00.000 GMT-0400,113.102,113.102,110.942,111.173,51.197399999999995
18.05.2018 13:00:00.000 GMT-0400,111.172,111.503,110.862,111.162,32.3581
21.05.2018 09:00:00.000 GMT-0400,112.223,112.553,111.953,112.303,38.8886
21.05.2018 13:00:00.000 GMT-0400,112.303,112.503,112.002,112.122,26.2902
22.05.2018 09:00:00.000 GMT-0400,112.512,114.303,112.382,114.072,42.671
22.05.2018 13:00:00.000 GMT-0400,114.073,114.293,112.942,113.002,35.129400000000004
23.05.2018 09:00:00.000 GMT-0400,112.463,112.793,111.142,111.932,64.5172
23.05.2018 13:00:00.000 GMT-0400,111.922,112.523,111.612,112.493,42.2363
24.05.2018 09:00:00.000 GMT-0400,112.643,112.643,110.132,110.962,81.6448
24.05.2018 13:00:00.000 GMT-0400,110.963,111.563,110.952,111.242,41.5972
25.05.2018 09:00:00.000 GMT-0400,110.712,111.103,110.313,110.552,56.974900000000005
25.05.2018 13:00:00.000 GMT-0400,110.552,110.782,110.222,110.653,33.0246
29.05.2018 09:00:00.000 GMT-0400,109.733,109.733,105.752,106.493,88.8404
29.05.2018 13:00:00.000 GMT-0400,106.473,106.483,104.972,105.952,67.737
30.05.2018 09:00:00.000 GMT-0400,107.782,108.243,106.672,108.132,80.5942
30.05.2018 13:00:00.000 GMT-0400,108.132,108.622,107.902,108.352,44.070499999999996
31.05.2018 09:00:00.000 GMT-0400,107.953,108.213,106.442,107.332,89.4195
31.05.2018 13:00:00.000 GMT-0400,107.332,107.652,106.702,107.053,60.2885
01.06.2018 09:00:00.000 GMT-0400,108.402,108.963,107.822,108.503,81.85810000000001
01.06.2018 13:00:00.000 GMT-0400,108.503,108.773,108.102,108.402,43.448800000000006
04.06.2018 09:00:00.000 GMT-0400,109.292,109.292,108.422,108.463,55.949400000000004
04.06.2018 13:00:00.000 GMT-0400,108.462,108.663,108.292,108.432,30.874100000000002
05.06.2018 09:00:00.000 GMT-0400,108.192,108.343,107.092,107.742,63.689499999999995
05.06.2018 13:00:00.000 GMT-0400,107.732,108.213,107.662,107.883,33.8075
06.06.2018 09:00:00.000 GMT-0400,108.892,110.763,108.502,110.412,64.6891
06.06.2018 13:00:00.000 GMT-0400,110.413,110.673,110.082,110.343,38.7885
07.06.2018 09:00:00.000 GMT-0400,111.193,111.513,110.532,110.992,64.28269999999999
07.06.2018 13:00:00.000 GMT-0400,110.992,111.053,110.042,110.783,62.4617
08.06.2018 09:00:00.000 GMT-0400,111.003,111.003,110.082,110.742,63.4195
08.06.2018 13:00:00.000 GMT-0400,110.743,111.143,110.582,111.073,34.5572
11.06.2018 09:00:00.000 GMT-0400,111.143,111.933,111.032,111.412,50.538399999999996
11.06.2018 13:00:00.000 GMT-0400,111.422,111.512,110.792,110.792,32.0257
12.06.2018 09:00:00.000 GMT-0400,111.192,111.552,110.542,110.602,53.784
12.06.2018 13:00:00.000 GMT-0400,110.593,110.633,109.542,110.202,38.770599999999995
13.06.2018 09:00:00.000 GMT-0400,110.482,110.692,109.593,109.893,46.6109
13.06.2018 13:00:00.000 GMT-0400,109.892,111.473,109.822,109.992,59.2235
14.06.2018 09:00:00.000 GMT-0400,110.653,110.653,107.802,107.882,71.1206
14.06.2018 13:00:00.000 GMT-0400,107.883,108.563,107.872,108.083,34.905
15.06.2018 09:00:00.000 GMT-0400,108.052,108.052,106.292,107.563,71.7726
15.06.2018 13:00:00.000 GMT-0400,107.573,108.403,107.492,107.882,38.4439
18.06.2018 09:00:00.000 GMT-0400,107.373,108.223,106.732,108.202,55.1067
18.06.2018 13:00:00.000 GMT-0400,108.203,108.412,107.912,108.202,28.7099
19.06.2018 09:00:00.000 GMT-0400,107.352,107.613,106.622,107.263,66.3268
19.06.2018 13:00:00.000 GMT-0400,107.262,107.913,107.102,107.592,37.2179
20.06.2018 09:00:00.000 GMT-0400,108.733,108.733,107.783,108.053,57.186899999999994
20.06.2018 13:00:00.000 GMT-0400,108.052,108.053,107.462,107.523,29.1004
21.06.2018 09:00:00.000 GMT-0400,107.073,107.802,106.552,107.563,70.9927
21.06.2018 13:00:00.000 GMT-0400,107.573,108.222,107.232,107.532,48.265600000000006
22.06.2018 09:00:00.000 GMT-0400,108.513,108.513,106.982,107.042,66.59530000000001
22.06.2018 13:00:00.000 GMT-0400,107.043,107.082,105.542,105.683,35.7138
25.06.2018 09:00:00.000 GMT-0400,105.762,105.762,104.032,104.773,86.5463
25.06.2018 13:00:00.000 GMT-0400,104.773,105.113,103.982,104.813,65.2051
26.06.2018 09:00:00.000 GMT-0400,105.142,105.142,103.133,104.383,73.9312
26.06.2018 13:00:00.000 GMT-0400,104.382,105.223,104.342,104.863,41.1074
27.06.2018 09:00:00.000 GMT-0400,105.113,105.933,104.492,104.502,71.5485
27.06.2018 13:00:00.000 GMT-0400,104.473,104.583,103.262,103.262,73.3327
28.06.2018 09:00:00.000 GMT-0400,103.813,105.113,103.542,104.922,100.44
28.06.2018 13:00:00.000 GMT-0400,104.923,105.473,104.622,104.972,51.5329
29.06.2018 09:00:00.000 GMT-0400,106.722,106.913,105.362,105.713,78.0212
29.06.2018 13:00:00.000 GMT-0400,105.712,106.053,104.232,104.332,44.949799999999996
02.07.2018 09:00:00.000 GMT-0400,104.013,104.732,103.413,104.332,75.7462
02.07.2018 13:00:00.000 GMT-0400,104.332,105.103,104.203,105.062,47.8262
03.07.2018 09:00:00.000 GMT-0400,105.623,105.803,103.552,103.812,77.7934
05.07.2018 09:00:00.000 GMT-0400,104.193,104.403,103.582,104.323,69.53120000000001
05.07.2018 13:00:00.000 GMT-0400,104.322,104.373,103.552,103.773,41.767500000000005
06.07.2018 09:00:00.000 GMT-0400,103.763,104.513,102.272,104.272,72.144
06.07.2018 13:00:00.000 GMT-0400,104.273,104.423,103.972,104.072,34.674400000000006
09.07.2018 09:00:00.000 GMT-0400,104.953,106.953,104.843,106.643,71.149
09.07.2018 13:00:00.000 GMT-0400,106.642,107.473,106.592,107.302,38.7782
10.07.2018 09:00:00.000 GMT-0400,108.352,108.412,106.822,106.892,71.034
10.07.2018 13:00:00.000 GMT-0400,106.893,107.113,106.552,106.592,40.3486
11.07.2018 09:00:00.000 GMT-0400,106.412,107.073,106.323,106.873,77.34960000000001
11.07.2018 13:00:00.000 GMT-0400,106.882,107.053,106.322,106.432,54.954800000000006
12.07.2018 09:00:00.000 GMT-0400,107.853,107.853,105.982,106.673,67.8374
12.07.2018 13:00:00.000 GMT-0400,106.673,106.923,106.292,106.863,43.7102
13.07.2018 09:00:00.000 GMT-0400,107.512,107.813,105.162,107.053,63.1203
13.07.2018 13:00:00.000 GMT-0400,107.052,107.063,106.222,106.423,34.4648
16.07.2018 09:00:00.000 GMT-0400,107.212,109.523,107.053,109.483,76.02459999999999
16.07.2018 13:00:00.000 GMT-0400,109.482,110.792,109.412,110.563,54.5666
17.07.2018 09:00:00.000 GMT-0400,111.182,111.182,109.763,110.702,70.6
17.07.2018 13:00:00.000 GMT-0400,110.712,110.803,110.172,110.533,34.2826
18.07.2018 09:00:00.000 GMT-0400,110.553,112.143,110.272,111.693,61.8244
18.07.2018 13:00:00.000 GMT-0400,111.682,111.683,111.102,111.542,35.0219
19.07.2018 09:00:00.000 GMT-0400,111.342,111.342,109.772,109.992,64.54390000000001
19.07.2018 13:00:00.000 GMT-0400,109.993,110.413,109.752,109.862,50.1275
20.07.2018 09:00:00.000 GMT-0400,110.093,111.763,109.813,111.592,58.011
20.07.2018 13:00:00.000 GMT-0400,111.593,111.733,111.032,111.312,34.4423
23.07.2018 09:00:00.000 GMT-0400,111.213,114.253,110.962,114.042,57.560500000000005
23.07.2018 13:00:00.000 GMT-0400,114.043,114.182,113.372,113.372,33.2128
24.07.2018 09:00:00.000 GMT-0400,113.863,114.723,113.442,114.652,59.2471
24.07.2018 13:00:00.000 GMT-0400,114.652,114.793,113.762,114.162,45.6644
25.07.2018 09:00:00.000 GMT-0400,113.912,114.532,113.402,114.503,49.2923
25.07.2018 13:00:00.000 GMT-0400,114.502,115.443,113.962,115.182,37.1306
26.07.2018 09:00:00.000 GMT-0400,115.563,115.613,114.782,114.993,61.8531
26.07.2018 13:00:00.000 GMT-0400,114.992,115.243,114.602,114.862,36.4678
27.07.2018 09:00:00.000 GMT-0400,115.213,115.913,115.002,115.042,70.23320000000001
27.07.2018 13:00:00.000 GMT-0400,115.032,116.323,114.842,116.063,59.144
30.07.2018 09:00:00.000 GMT-0400,116.193,117.623,116.192,116.733,77.07560000000001
30.07.2018 13:00:00.000 GMT-0400,116.723,117.482,116.562,116.722,45.9438
31.07.2018 09:00:00.000 GMT-0400,117.462,117.462,115.192,115.692,68.7124
31.07.2018 13:00:00.000 GMT-0400,115.692,116.053,114.833,114.923,39.1136
01.08.2018 09:00:00.000 GMT-0400,115.812,116.712,115.302,115.892,66.1204
01.08.2018 13:00:00.000 GMT-0400,115.883,116.162,115.522,115.642,40.4754
02.08.2018 09:00:00.000 GMT-0400,114.852,115.543,114.362,115.432,78.2641
02.08.2018 13:00:00.000 GMT-0400,115.433,116.263,115.272,116.252,39.8943
03.08.2018 09:00:00.000 GMT-0400,116.643,117.033,116.012,116.842,57.0998
03.08.2018 13:00:00.000 GMT-0400,116.843,117.143,116.833,117.073,32.5835
06.08.2018 09:00:00.000 GMT-0400,117.093,117.553,116.202,117.373,55.856
06.08.2018 13:00:00.000 GMT-0400,117.372,117.533,117.042,117.142,32.6493
07.08.2018 09:00:00.000 GMT-0400,117.942,118.293,117.532,117.933,50.19519999999999
07.08.2018 13:00:00.000 GMT-0400,117.932,118.023,117.352,117.552,34.2933
08.08.2018 09:00:00.000 GMT-0400,117.483,118.283,117.342,117.932,50.69840000000001
08.08.2018 13:00:00.000 GMT-0400,117.933,118.213,117.772,117.812,31.096799999999998
09.08.2018 09:00:00.000 GMT-0400,117.502,117.552,116.742,116.982,48.951100000000004
09.08.2018 13:00:00.000 GMT-0400,116.972,117.172,116.712,116.903,30.433
10.08.2018 09:00:00.000 GMT-0400,115.512,115.972,114.712,115.602,68.0583
10.08.2018 13:00:00.000 GMT-0400,115.592,115.902,115.002,115.652,44.712900000000005
13.08.2018 09:00:00.000 GMT-0400,115.753,115.902,114.582,114.613,63.6156
13.08.2018 13:00:00.000 GMT-0400,114.612,114.873,113.832,113.873,48.033199999999994
14.08.2018 09:00:00.000 GMT-0400,114.402,114.423,113.672,114.413,60.3966
14.08.2018 13:00:00.000 GMT-0400,114.412,115.063,114.412,114.713,40.605900000000005
15.08.2018 09:00:00.000 GMT-0400,114.012,114.343,113.392,113.922,90.81879999999998
15.08.2018 13:00:00.000 GMT-0400,113.923,113.952,112.992,113.663,52.8852
16.08.2018 09:00:00.000 GMT-0400,114.502,115.323,114.372,115.023,58.1362
16.08.2018 13:00:00.000 GMT-0400,115.032,115.263,114.622,114.783,36.0642
17.08.2018 09:00:00.000 GMT-0400,114.712,115.052,114.382,114.433,54.087199999999996
17.08.2018 13:00:00.000 GMT-0400,114.432,115.093,114.322,114.733,37.274
20.08.2018 09:00:00.000 GMT-0400,114.602,115.073,114.142,114.453,49.5694
20.08.2018 13:00:00.000 GMT-0400,114.462,114.783,114.282,114.632,25.881
21.08.2018 09:00:00.000 GMT-0400,115.513,116.403,114.972,116.012,47.1133
21.08.2018 13:00:00.000 GMT-0400,116.012,116.123,115.282,115.302,34.699
22.08.2018 09:00:00.000 GMT-0400,115.332,115.423,114.858,115.223,44.3315
22.08.2018 13:00:00.000 GMT-0400,115.222,115.372,114.912,115.002,28.311
23.08.2018 09:00:00.000 GMT-0400,115.163,115.163,114.542,114.642,53.3021
23.08.2018 13:00:00.000 GMT-0400,114.643,114.763,114.452,114.733,34.5172
